,Unnamed: 0,Against,Date,Header,Match No,PlayerID,PlayerName,Scored,Team,x,y,Angle,Distance,Colour,ScoredBinary
73,73,man-utd,08/08/2015,0,4,856,856,Missed,spurs,70.208,84.502,0.8775288228707665,109.86241972576428,r,0.0
74,74,man-utd,08/08/2015,0,4,854,854,Missed,spurs,44.672,49.097999999999985,0.8325637547053553,66.37922256248561,r,0.0
75,75,man-utd,08/08/2015,0,4,7673,7673,Missed,spurs,83.648,-57.44800000000001,0.6018001097379801,101.4754187377416,r,0.0
76,76,man-utd,08/08/2015,0,4,61,61,Missed,spurs,46.01600000000001,-73.81400000000002,1.013344962669739,86.98263534752212,r,0.0
77,77,man-utd,08/08/2015,0,4,61,61,Missed,spurs,96.192,48.76400000000001,0.46918771852458024,107.84631917687317,r,0.0
78,78,cpalace,08/08/2015,1,5,649,649,Missed,norwich,59.456,-22.04400000000001,0.3550496198528122,63.410991728563914,r,0.0
79,79,cpalace,08/08/2015,1,5,649,649,Missed,norwich,54.976000000000006,-2.0039999999999907,0.03643613740488986,55.01251304930543,r,0.0
80,80,cpalace,08/08/2015,1,5,774,774,Missed,norwich,67.52,-15.030000000000001,0.2190295943984632,69.17261958318478,r,0.0
81,81,norwich,08/08/2015,1,5,5187,5187,Missed,cpalace,34.368,63.794,1.0766437227887569,72.46263768315366,r,0.0
82,82,cpalace,08/08/2015,0,5,870,870,Missed,norwich,142.784,-60.78800000000001,0.40249216724936127,155.18521707946283,r,0.0
83,83,cpalace,08/08/2015,0,5,10186,10186,Missed,norwich,37.056,6.680000000000007,0.17835222768861597,37.653280547649494,r,0.0
84,84,cpalace,08/08/2015,0,5,1348,1348,Missed,norwich,146.368,-7.01400000000001,0.047883680206863684,146.53596015995527,r,0.0
85,85,cpalace,08/08/2015,0,5,587,587,Missed,norwich,128.89600000000002,-61.78999999999999,0.4470149145020106,142.94118691266,r,0.0
86,86,cpalace,08/08/2015,0,5,649,649,Missed,norwich,140.096,61.122,0.4113914825623162,152.848906113194,r,0.0
87,87,cpalace,08/08/2015,0,5,587,587,Missed,norwich,106.496,34.067999999999955,0.309611631045757,111.81246191726572,r,0.0
88,88,cpalace,08/08/2015,0,5,1348,1348,Missed,norwich,102.464,-16.03200000000001,0.1552063276080752,103.71063744862434,r,0.0
89,89,cpalace,08/08/2015,0,5,655,655,Missed,norwich,116.8,-76.15199999999999,0.5777702989049808,139.43230294304112,r,0.0
90,90,cpalace,08/08/2015,0,5,10186,10186,Missed,norwich,28.096,-45.75800000000001,1.0201369248271435,53.69524913807553,r,0.0
91,91,cpalace,08/08/2015,0,5,652,652,Missed,norwich,112.32,-7.01400000000001,0.06236559887089168,112.53878707361298,r,0.0
92,92,cpalace,08/08/2015,0,5,5496,5496,Scored,norwich,145.472,-19.03800000000001,0.13013098639607168,146.7124678682763,b,1.0
93,93,cpalace,08/08/2015,0,5,649,649,Missed,norwich,132.032,-5.009999999999991,0.03792715043930111,132.1270189022669,r,0.0
94,94,cpalace,08/08/2015,0,5,655,655,Missed,norwich,40.64,-62.458,0.9939451515172367,74.5158463952467,r,0.0
95,95,cpalace,08/08/2015,0,5,587,587,Missed,norwich,113.664,31.062000000000012,0.2667656368511185,117.83188337627469,r,0.0
96,96,norwich,08/08/2015,0,5,5152,5152,Missed,cpalace,81.85600000000002,-79.15800000000002,0.7686434244724242,113.87007376830844,r,0.0
97,97,norwich,08/08/2015,0,5,732,732,Missed,cpalace,84.992,32.732,0.36761212740904,91.07702173435406,r,0.0
98,98,norwich,08/08/2015,0,5,5195,5195,Missed,cpalace,31.68,7.682000000000045,0.23789555365532597,32.5980908029903,r,0.0
99,99,norwich,08/08/2015,0,5,4942,4942,Scored,cpalace,36.16,-25.71799999999999,0.6182217713848279,44.37297740742669,b,1.0
100,100,norwich,08/08/2015,0,5,5152,5152,Missed,cpalace,76.928,33.73400000000001,0.41326116525727785,83.99940440265038,r,0.0
101,101,norwich,08/08/2015,0,5,5207,5207,Scored,cpalace,26.752,-31.395999999999987,0.865094176719736,41.24776745473625,b,1.0
102,102,norwich,08/08/2015,0,5,111,111,Missed,cpalace,124.416,58.45,0.4391928681930938,137.46178943982943,r,0.0
103,103,norwich,08/08/2015,0,5,5188,5188,Missed,cpalace,112.768,-5.009999999999991,0.04439830136218639,112.87923601796744,r,0.0
104,104,norwich,08/08/2015,0,5,799,799,Missed,cpalace,106.496,-14.695999999999998,0.13712972350734862,107.50521118531883,r,0.0
105,105,norwich,08/08/2015,0,5,111,111,Scored,cpalace,66.176,22.377999999999986,0.3260872134028011,69.85726776792805,b,1.0
106,106,west-ham,09/08/2015,1,6,113,113,Missed,arsenal,80.512,18.035999999999973,0.220377941423158,82.50745081506275,r,0.0
107,107,west-ham,09/08/2015,1,6,120,120,Missed,arsenal,55.424,9.352000000000004,0.16716098253473302,56.20746996618866,r,0.0
