Date,HomeTeam,AwayTeam
02-04-2016,sunderland,wba
02-04-2016,west-ham,cpalace
03-04-2016,leicester,s-hampton
03-04-2016,man-utd,everton
09-04-2016,avilla,b-mouth
09-04-2016,cpalace,norwich
09-04-2016,man-city,wba
09-04-2016,s-hampton,newcastle
09-04-2016,swansea,chelsea
09-04-2016,watford,everton
09-04-2016,west-ham,arsenal
10-04-2016,liverpool,stoke
10-04-2016,sunderland,leicester
10-04-2016,spurs,man-utd
13-04-2016,cpalace,everton
16-04-2016,chelsea,man-city
16-04-2016,everton,s-hampton
16-04-2016,man-utd,avilla
16-04-2016,newcastle,swansea
16-04-2016,norwich,sunderland
16-04-2016,wba,watford
17-04-2016,arsenal,cpalace
17-04-2016,b-mouth,liverpool
17-04-2016,leicester,west-ham
18-04-2016,stoke,spurs
19-04-2016,newcastle,man-city
20-04-2016,liverpool,everton
20-04-2016,man-utd,cpalace
20-04-2016,west-ham,watford
21-04-2016,arsenal,wba
23-04-2016,avilla,s-hampton
23-04-2016,b-mouth,chelsea
23-04-2016,liverpool,newcastle
23-04-2016,man-city,stoke
24-04-2016,leicester,swansea
24-04-2016,sunderland,arsenal
25-04-2016,spurs,wba
30-04-2016,arsenal,norwich
30-04-2016,everton,b-mouth
30-04-2016,newcastle,cpalace
30-04-2016,stoke,sunderland
30-04-2016,watford,avilla
30-04-2016,wba,west-ham
01-05-2016,man-utd,leicester
01-05-2016,s-hampton,man-city
01-05-2016,swansea,liverpool
02-05-2016,chelsea,spurs
07-05-2016,avilla,newcastle
07-05-2016,b-mouth,wba
07-05-2016,cpalace,stoke
07-05-2016,leicester,everton
07-05-2016,norwich,man-utd
07-05-2016,sunderland,chelsea
07-05-2016,west-ham,swansea
08-05-2016,liverpool,watford
08-05-2016,man-city,arsenal
08-05-2016,spurs,s-hampton
10-05-2016,west-ham,man-utd
11-05-2016,liverpool,chelsea
11-05-2016,norwich,watford
11-05-2016,sunderland,everton
15-05-2016,arsenal,avilla
15-05-2016,chelsea,leicester
15-05-2016,everton,norwich
15-05-2016,newcastle,spurs
15-05-2016,s-hampton,cpalace
15-05-2016,stoke,west-ham
15-05-2016,swansea,man-city
15-05-2016,watford,sunderland
15-05-2016,wba,liverpool
17-05-2016,man-utd,b-mouth
