Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
I1,26/08/17,Benevento,Bologna,0,1,A,0,0,D,15,14,5,4,10,13,6,2,1,3,0,0,2.7,3.2,2.75,2.7,3.1,2.8,2.6,3.2,2.6,2.62,3,2.65,2.83,3.26,2.78,2.7,3.1,2.7,2.8,3.1,2.8,34,2.83,2.7,3.3,3.15,2.83,2.73,33,2.28,2.18,1.74,1.67,13,-0.25,2.37,2.3,1.7,1.67,2.58,3.37,2.97
I1,26/08/17,Genoa,Juventus,2,4,A,2,2,D,9,17,3,7,13,8,1,4,4,3,0,0,9,4.5,1.4,10,4.6,1.36,7.3,4.4,1.4,8.5,4.4,1.36,10.61,4.69,1.4,8,4.5,1.4,8,4.75,1.36,35,10.61,9.06,4.77,4.55,1.42,1.38,33,1.95,1.84,2.01,1.96,14,1.25,2.02,1.98,1.94,1.9,8.5,4.39,1.48
I1,26/08/17,Roma,Inter,1,3,A,1,0,H,18,14,3,8,12,8,12,6,1,1,0,0,2.3,3.5,3,2.25,3.5,3.1,2.2,3.3,3.1,2.2,3.4,2.9,2.32,3.6,3.21,2.3,3.4,3,2.3,3.5,3.13,35,2.36,2.29,3.65,3.49,3.21,3.03,32,1.67,1.63,2.36,2.26,15,-0.25,2.02,1.99,1.93,1.89,2.25,3.56,3.39
I1,27/08/17,Chievo,Lazio,1,2,A,1,1,D,13,13,5,3,8,8,9,6,1,1,0,0,3.5,3.2,2.2,3.6,3.3,2.15,2.9,3.3,2.3,3.3,3.2,2.1,3.65,3.4,2.21,3.4,3.2,2.2,3.6,3.25,2.2,35,3.8,3.49,3.45,3.29,2.3,2.16,33,2.08,2,1.89,1.81,14,0.25,2.05,2.01,1.91,1.87,4.15,3.56,2.01
I1,27/08/17,Crotone,Verona,0,0,D,0,0,D,13,5,4,0,13,11,1,3,1,3,0,0,2.5,3.2,2.88,2.45,3.2,3,2.3,3.2,3,2.37,3,3,2.55,3.22,3.15,2.5,3.1,3,2.5,3.1,3.2,35,2.55,2.45,3.35,3.14,3.2,3.04,33,2.29,2.19,1.72,1.67,14,-0.25,2.15,2.1,1.81,1.8,2.85,3.25,2.76
I1,27/08/17,Fiorentina,Sampdoria,1,2,A,0,2,A,25,12,10,5,20,11,14,7,3,4,0,0,1.8,3.5,4.5,1.85,3.6,4.33,1.85,3.45,4,1.8,3.5,4,1.88,3.73,4.54,1.83,3.6,4.2,1.83,3.6,4.6,34,1.92,1.85,3.75,3.62,4.6,4.24,33,1.81,1.76,2.14,2.05,14,-0.5,1.88,1.86,2.08,2.04,1.68,4.33,5.12
I1,27/08/17,Milan,Cagliari,2,1,H,1,0,H,15,14,5,4,20,17,2,6,2,1,0,0,1.22,6.5,13,1.22,6.5,13.5,1.2,6,12.5,1.22,5.8,13,1.25,6.76,14.02,1.22,6,13,1.22,6.5,13,35,1.25,1.22,6.85,6.32,15,12.87,28,1.52,1.48,2.75,2.58,15,-2,2.26,2.15,1.78,1.74,1.35,5.52,10.12
I1,27/08/17,Napoli,Atalanta,3,1,H,0,1,A,10,14,4,2,15,9,9,6,1,2,0,0,1.4,4.75,8,1.42,4.6,7.75,1.3,5,9,1.4,4.5,7,1.42,5,8.49,1.4,4.5,8,1.4,4.75,8.5,34,1.45,1.41,5,4.73,9,7.66,31,1.63,1.56,2.5,2.4,15,-1,1.68,1.65,2.36,2.32,1.35,5.57,10.02
I1,27/08/17,Spal,Udinese,3,2,H,1,0,H,10,11,4,3,9,14,0,7,3,1,0,0,2.5,3.1,2.9,2.45,3.1,3.1,2.6,3.2,2.6,2.37,3,2.9,2.5,3.22,3.23,2.5,3.1,2.9,2.5,3.1,3.13,34,2.65,2.47,3.25,3.13,3.23,3.02,33,2.28,2.19,1.71,1.67,14,-0.25,2.16,2.11,1.83,1.79,2.51,3.38,3.08
I1,27/08/17,Torino,Sassuolo,3,0,H,1,0,H,14,19,5,2,13,16,5,11,1,1,0,0,1.75,3.6,5,1.72,3.7,5,1.8,3.5,4.2,1.7,3.7,4.4,1.76,3.89,5.15,1.73,3.6,4.8,1.73,3.8,5,34,1.8,1.74,3.91,3.75,5.18,4.74,33,1.77,1.72,2.17,2.12,15,-1,2.39,2.32,1.68,1.65,1.68,4.22,5.32
