,x,y,Team,Against,Scored,Match No,Season,Angle,Distance,Colour,ScoredBinary,Proba,Proba_exp
7476,29.44,0.0,burnley,west-ham,Missed,371,16/17,0.0,29.44,r,0,0.477537944,0.514345745
6102,28.991999999999997,1.3359999999999999,man-city,sunderland,Missed,265,16/17,0.046049100999999995,29.02276624,r,0,0.46960746200000003,0.5112603720000001
415,20.928,12.024000000000001,wba,everton,Scored,17,16/17,0.521489475,24.13623334,b,1,0.393732624,0.510146761
3914,20.928,-12.024000000000001,spurs,hull-city,Scored,157,16/17,0.521489475,24.13623334,b,1,0.393732624,0.510146761
136,24.96,-8.016,m-brough,stoke,Scored,5,16/17,0.310749261,26.21560329,b,1,0.427636168,0.507105321
4818,26.752,-6.0120000000000005,man-utd,west-ham,Missed,195,16/17,0.22105825699999998,27.41922041,r,0,0.439781639,0.503547214
6022,28.096,-4.008,stoke,m-brough,Scored,261,16/17,0.141697732,28.38043833,b,1,0.451411038,0.50322479
3161,23.616,-10.02,s-hampton,everton,Scored,128,16/17,0.40126794600000004,25.65376885,b,1,0.41040359200000004,0.502688871
1960,29.888,-1.002,wba,spurs,Missed,76,16/17,0.033512609,29.90479139,r,0,0.465643996,0.502265895
3091,25.408,-8.016,swansea,cpalace,Scored,125,16/17,0.305607607,26.64249838,b,1,0.42552921299999996,0.5017596089999999
360,20.928,13.026,hull-city,swansea,Scored,14,16/17,0.556741684,24.65071723,b,1,0.381620251,0.497881409
9045,22.272,12.024000000000001,man-city,m-brough,Missed,341,16/17,0.49503314200000004,25.31044369,r,0,0.390963076,0.49553818899999996
3737,30.784000000000002,-0.33399999999999996,s-hampton,m-brough,Missed,149,16/17,0.010849366000000001,30.78581186,r,0,0.464161901,0.49547827200000005
4034,29.44,-3.0060000000000002,stoke,leicester,Scored,162,16/17,0.101753342,29.59306736,b,1,0.45150549,0.494135327
2017,24.96,9.352,s-hampton,burnley,Missed,78,16/17,0.35848964299999997,26.65448375,r,0,0.41281075100000003,0.494077449
6597,29.44,-3.34,m-brough,hull-city,Scored,299,16/17,0.11296806300000001,29.62885755,b,1,0.448500199,0.49175453700000005
9675,31.232,0.33399999999999996,arsenal,sunderland,Scored,366,16/17,0.010693751999999999,31.23378587,b,1,0.46063761,0.49002353200000004
3092,26.304000000000002,-8.684,swansea,cpalace,Scored,125,16/17,0.318873719,27.70040202,b,1,0.4141184,0.48506695299999997
4789,28.991999999999997,5.01,wba,hull-city,Scored,194,16/17,0.171116354,29.42169546,b,1,0.43606964600000003,0.484733245
2016,24.064,11.356,s-hampton,burnley,Scored,78,16/17,0.440922721,26.60892392,b,1,0.39371122799999997,0.48352101700000005
4691,28.096,-6.68,everton,s-hampton,Scored,190,16/17,0.23342236800000002,28.87919002,b,1,0.42534350200000004,0.48194448700000003
6655,29.888,-4.008,cpalace,s-hampton,Scored,301,16/17,0.133305363,30.15554025,b,1,0.439418116,0.48159293799999997
3347,27.648000000000003,7.348,spurs,swansea,Scored,134,16/17,0.259764765,28.6077788,b,1,0.421156883,0.481515275
125,26.752,-8.684,man-city,sunderland,Scored,4,16/17,0.313880242,28.1261686,b,1,0.412003645,0.479966668
2167,32.128,0.33399999999999996,cpalace,leicester,Missed,84,16/17,0.010395541999999999,32.12973607,r,0,0.45359798799999995,0.479293526
9230,29.888,4.342,stoke,arsenal,Missed,360,16/17,0.14426643,30.20174677,r,0,0.43640849200000004,0.47916777299999996
3381,30.784000000000002,3.0060000000000002,watford,wba,Scored,135,16/17,0.09733952900000001,30.93041694,b,1,0.442001972,0.478057038
4070,30.784000000000002,3.0060000000000002,watford,sunderland,Missed,163,16/17,0.09733952900000001,30.93041694,r,0,0.442001972,0.478057038
7166,27.648000000000003,8.016,stoke,b-mouth,Missed,345,16/17,0.282193364,28.78659688,r,0,0.414415635,0.475754664
4413,32.576,1.002,liverpool,stoke,Scored,178,16/17,0.030749146,32.59140654,b,1,0.445005489,0.469999913
8215,27.648000000000003,-8.684,chelsea,west-ham,Scored,267,16/17,0.304334059,28.979712899999996,b,1,0.407664022,0.46990354700000003
8450,32.128,-2.004,leicester,stoke,Missed,286,16/17,0.062294790999999995,32.19043957,r,0,0.440537585,0.468964492
952,28.991999999999997,-7.013999999999999,spurs,stoke,Scored,36,16/17,0.23736794,29.82838011,b,1,0.41699835,0.468938229
7504,30.784000000000002,-4.342,spurs,hull-city,Scored,373,16/17,0.14012295800000002,31.08870567,b,1,0.430439029,0.46876169799999995
9681,26.752,10.02,arsenal,sunderland,Scored,366,16/17,0.35837735,28.56693725,b,1,0.39809133700000005,0.467614439
4365,23.616,-13.36,west-ham,swansea,Scored,176,16/17,0.5148307520000001,27.1330989,b,1,0.372622104,0.46645580700000006
6613,32.576,1.67,liverpool,b-mouth,Scored,300,16/17,0.051219895999999994,32.61877797,b,1,0.43983743200000003,0.46589466700000004
5266,28.096,8.684,chelsea,hull-city,Scored,218,16/17,0.299768982,29.40743226,b,1,0.40544307700000004,0.46494077100000003
5088,27.648000000000003,-9.352,watford,b-mouth,Scored,210,16/17,0.326171086,29.18684306,b,1,0.400910945,0.463967841
5238,32.576,-2.004,arsenal,burnley,Missed,217,16/17,0.06144025400000001,32.63758251,r,0,0.43722154700000004,0.46380913
4774,33.024,-1.3359999999999999,liverpool,sunderland,Missed,193,16/17,0.040433378,33.05101318,r,0,0.439037168,0.462809576
2193,33.024,-1.67,wba,liverpool,Scored,85,16/17,0.050526243,33.06619839,b,1,0.43648156299999996,0.46077053100000004
924,33.024,-2.338,stoke,spurs,Missed,36,16/17,0.070679067,33.10665824,r,0,0.43130934,0.45662877799999996
6649,24.96,13.026,s-hampton,cpalace,Scored,301,16/17,0.48099407200000005,28.15454272,b,1,0.37274077200000005,0.456557451
5043,24.064,14.027999999999999,cpalace,west-ham,Missed,207,16/17,0.527785016,27.85427938,r,0,0.364298075,0.45468945899999996
5115,30.784000000000002,6.346,swansea,liverpool,Scored,212,16/17,0.203298178,31.43129606,b,1,0.41266190700000005,0.45413192
8729,34.368,-0.33399999999999996,west-ham,sunderland,Scored,317,16/17,0.009718036999999999,34.36962292,b,1,0.43606939299999997,0.453485116
4729,33.024,-3.0060000000000002,burnley,man-city,Missed,191,16/17,0.09077455699999999,33.16052792,r,0,0.42606091,0.45240295399999997
1103,34.816,0.0,leicester,burnley,Scored,43,16/17,0.0,34.816,b,1,0.43490193200000005,0.45036070200000006
8492,32.128,5.01,everton,liverpool,Scored,287,16/17,0.15469289,32.51628029,b,1,0.415806051,0.44897282899999996
9028,26.752,12.024000000000001,chelsea,everton,Scored,339,16/17,0.422406204,29.32995193,b,1,0.377394525,0.44853625
9642,25.855999999999998,13.026,chelsea,m-brough,Missed,353,16/17,0.46667518799999996,28.95184644,r,0,0.37006467299999996,0.44762544200000004
397,33.472,3.0060000000000002,watford,chelsea,Missed,16,16/17,0.08956613199999999,33.60670796,r,0,0.422863706,0.447438319
1931,33.92,2.338,stoke,sunderland,Scored,75,16/17,0.068818042,34.00048006,b,1,0.424756335,0.44664857399999996
1177,27.648000000000003,-11.356,cpalace,stoke,Scored,46,16/17,0.389726256,29.88930645,b,1,0.380726165,0.44571621200000006
9091,34.368,-2.004,sunderland,hull-city,Scored,347,16/17,0.058244104000000005,34.4263771,b,1,0.423961346,0.44374625799999995
5139,28.544,10.687999999999999,spurs,man-city,Scored,213,16/17,0.35827914899999996,30.47939107,b,1,0.383550668,0.442568797
8367,33.472,4.008,man-utd,m-brough,Missed,281,16/17,0.119174456,33.71110867,r,0,0.41498293799999997,0.441028848
5528,24.064,15.364,b-mouth,everton,Scored,232,16/17,0.568222828,28.55045695,b,1,0.35008117,0.440048719
8533,24.064,15.364,watford,sunderland,Scored,290,16/17,0.568222828,28.55045695,b,1,0.35008117,0.440048719
1131,28.544,11.022,man-city,b-mouth,Scored,44,16/17,0.368501904,30.59811138,b,1,0.38028775200000003,0.439600748
3109,31.68,7.013999999999999,cpalace,swansea,Scored,125,16/17,0.217886725,32.44716622,b,1,0.40136654200000005,0.439454898
6347,33.92,-3.674,chelsea,cpalace,Missed,284,16/17,0.10789306300000001,34.11839205,r,0,0.41450591,0.43832900399999997
7531,31.68,7.348,leicester,b-mouth,Missed,374,16/17,0.22791435300000001,32.52100097,r,0,0.398439875,0.436975871
7154,29.44,10.354000000000001,b-mouth,stoke,Scored,345,16/17,0.33818704200000005,31.20767399,b,1,0.38270142799999995,0.436284202
7070,30.336,-9.352,spurs,arsenal,Missed,342,16/17,0.299036247,31.74480745,r,0,0.387724701,0.435420607
9417,28.096,-12.024000000000001,wba,swansea,Missed,378,16/17,0.40437619799999996,30.56078847,r,0,0.372311457,0.435041454
1184,35.711999999999996,1.002,cpalace,stoke,Missed,46,16/17,0.028050436,35.72605419,r,0,0.421041919,0.434964374
8875,35.711999999999996,-1.002,hull-city,watford,Scored,324,16/17,0.028050436,35.72605419,b,1,0.421041919,0.434964374
8661,33.472,-5.01,everton,leicester,Scored,310,16/17,0.148574375,33.84486496,b,1,0.406968108,0.434444289
5479,34.368,-3.674,chelsea,arsenal,Scored,230,16/17,0.106497315,34.56382068,b,1,0.411383574,0.43352550700000003
1063,34.816,-3.0060000000000002,m-brough,everton,Scored,41,16/17,0.08612602800000001,34.945527500000004,b,1,0.413265599,0.432866459
4104,34.816,3.0060000000000002,west-ham,hull-city,Missed,165,16/17,0.08612602800000001,34.945527500000004,r,0,0.413265599,0.432866459
2415,33.024,6.0120000000000005,arsenal,sunderland,Scored,93,16/17,0.180077328,33.56678001,b,1,0.401670075,0.432388145
3361,32.128,-7.348,wba,watford,Scored,135,16/17,0.22484300699999998,32.95757103,b,1,0.395817475,0.432271075
3106,33.472,-5.343999999999999,cpalace,swansea,Scored,125,16/17,0.158319667,33.89591598,b,1,0.404270346,0.43221170200000003
3521,35.264,2.338,burnley,b-mouth,Scored,141,16/17,0.06620302,35.34141961,b,1,0.414933266,0.43208398600000003
4206,35.711999999999996,1.67,burnley,spurs,Scored,168,16/17,0.046728951,35.75102578,b,1,0.416389278,0.431185196
4778,30.784000000000002,9.352,liverpool,sunderland,Scored,193,16/17,0.294934047,32.1731963,b,1,0.385429078,0.430815092
5823,26.304000000000002,-14.362,man-city,b-mouth,Scored,249,16/17,0.499767476,29.969442100000002,b,1,0.35504346299999995,0.429852369
2519,35.264,-3.0060000000000002,everton,west-ham,Scored,97,16/17,0.08503716900000001,35.39188794,b,1,0.41006604399999996,0.428114647
7127,33.472,6.0120000000000005,west-ham,spurs,Scored,344,16/17,0.177717875,34.00763044,b,1,0.398840285,0.42769168
6277,29.44,-11.356,wba,arsenal,Scored,278,16/17,0.368147667,31.55427603,b,1,0.373187635,0.42766680100000004
4817,32.576,-7.348,man-utd,west-ham,Missed,195,16/17,0.221851993,33.39444385,r,0,0.393179946,0.427613983
6287,32.128,-8.016,wba,arsenal,Scored,278,16/17,0.244509895,33.11290745,b,1,0.39003181,0.42733287799999997
6574,32.128,-8.016,hull-city,m-brough,Missed,299,16/17,0.244509895,33.11290745,r,0,0.39003181,0.42733287799999997
9338,32.128,-8.016,everton,arsenal,Missed,370,16/17,0.244509895,33.11290745,r,0,0.39003181,0.42733287799999997
2872,27.648000000000003,-13.36,spurs,west-ham,Scored,116,16/17,0.45013176899999996,30.70670129,b,1,0.36080979,0.426937291
8449,20.48,-19.038,leicester,stoke,Missed,286,16/17,0.748924645,27.96204292,r,0,0.31495267,0.426921527
7229,31.232,-9.352,swansea,everton,Scored,350,16/17,0.290939719,32.60211232,b,1,0.383109555,0.42625291299999996
4473,28.096,13.026,everton,hull-city,Scored,180,16/17,0.43412629700000005,30.96872442,b,1,0.36249831899999996,0.42578724799999995
1211,36.608000000000004,1.002,s-hampton,swansea,Missed,47,16/17,0.027364233999999998,36.62171034,r,0,0.414237384,0.42544236700000004
3269,33.472,-6.346,stoke,burnley,Missed,132,16/17,0.187367457,34.06826236,r,0,0.396109547,0.425404888
9319,29.888,11.356,arsenal,everton,Missed,370,16/17,0.363104909,31.97266457,r,0,0.371215854,0.423247008
3474,34.368,5.343999999999999,m-brough,hull-city,Scored,139,16/17,0.154258169,34.78099711,b,1,0.39842484,0.422842424
2951,28.096,13.36,wba,burnley,Missed,119,16/17,0.443866431,31.11068652,r,0,0.359247913,0.422680956
4968,36.16,-2.338,sunderland,stoke,Missed,203,16/17,0.064567205,36.23550529999999,r,0,0.40839496700000005,0.42263801700000003
5132,36.608000000000004,1.67,man-city,spurs,Scored,213,16/17,0.045586839000000004,36.6460716,b,1,0.409719582,0.42175089600000004
2883,31.232,10.02,west-ham,spurs,Scored,116,16/17,0.310450947,32.79997293,b,1,0.37710990200000005,0.420962761
5834,31.232,10.02,man-city,b-mouth,Scored,249,16/17,0.310450947,32.79997293,b,1,0.37710990200000005,0.420962761
1521,37.504,0.33399999999999996,west-ham,s-hampton,Missed,58,16/17,0.008905481,37.50548723,r,0,0.411772087,0.419670959
7488,37.056,1.3359999999999999,west-ham,burnley,Scored,371,16/17,0.036037931,37.08007594,b,1,0.40862711799999996,0.418943705
7230,33.472,-7.348,swansea,everton,Missed,350,16/17,0.21609887600000002,34.26905146,r,0,0.38786382399999997,0.41844158200000003
9489,36.608000000000004,2.338,everton,sunderland,Missed,39,16/17,0.063779201,36.68258317,r,0,0.40513044299999995,0.417992465
7845,32.576,8.684,arsenal,swansea,Scored,204,16/17,0.26051832199999997,33.71361197,b,1,0.38175805799999996,0.41781770799999995
24,35.711999999999996,-4.008,swansea,burnley,Scored,0,16/17,0.11176349699999999,35.93620748,b,1,0.39955646,0.417405035
8347,32.128,9.352,leicester,west-ham,Missed,279,16/17,0.283258567,33.4614448,r,0,0.378404309,0.417258051
9271,32.128,-9.352,spurs,man-utd,Scored,363,16/17,0.283258567,33.4614448,b,1,0.378404309,0.417258051
8336,37.056,-1.67,west-ham,leicester,Missed,279,16/17,0.045036452000000005,37.0936118,r,0,0.40639196200000005,0.417111299
3223,36.16,3.34,cpalace,s-hampton,Scored,130,16/17,0.09210591,36.313925700000006,b,1,0.40128377200000004,0.41680464
2564,34.368,-6.346,b-mouth,sunderland,Scored,100,16/17,0.18259188699999998,34.9489791,b,1,0.390504611,0.416222883
6714,37.504,1.002,stoke,liverpool,Missed,306,16/17,0.026710796000000002,37.517382899999994,r,0,0.40745753799999995,0.41612868
8664,37.504,1.002,everton,leicester,Missed,310,16/17,0.026710796000000002,37.517382899999994,r,0,0.40745753799999995,0.41612868
3095,35.711999999999996,-4.342,swansea,cpalace,Scored,125,16/17,0.120989931,35.97499003,b,1,0.397090702,0.415368105
8346,37.504,1.3359999999999999,leicester,west-ham,Scored,279,16/17,0.03560781,37.52778853,b,1,0.405272522,0.41433360399999997
4517,35.264,-5.343999999999999,chelsea,stoke,Scored,182,16/17,0.150398309,35.6666235,b,1,0.392556842,0.413671384
4728,32.576,-9.352,burnley,man-city,Scored,191,16/17,0.279564168,33.891823200000005,b,1,0.3760212,0.412825065
680,37.504,1.67,liverpool,spurs,Missed,26,16/17,0.044499187999999995,37.54116295,r,0,0.403069733,0.41252265200000005
1895,37.504,1.67,cpalace,west-ham,Missed,73,16/17,0.044499187999999995,37.54116295,r,0,0.403069733,0.41252265200000005
478,27.2,15.364,west-ham,b-mouth,Scored,19,16/17,0.514175061,31.239278100000003,b,1,0.34260843,0.411777612
2697,37.952,-1.3359999999999999,stoke,west-ham,Missed,104,16/17,0.035187831,37.9755079,r,0,0.401924306,0.40977417899999996
2251,37.056,-3.0060000000000002,chelsea,man-utd,Scored,88,16/17,0.080943227,37.17772414,b,1,0.39728182799999995,0.409620062
4922,32.128,10.354000000000001,hull-city,b-mouth,Scored,201,16/17,0.311763815,33.75520256,b,1,0.369659642,0.40954411700000004
7793,34.368,7.348,spurs,watford,Scored,189,16/17,0.21063228,35.14473685,b,1,0.382499752,0.40945593799999996
3520,30.784000000000002,12.024000000000001,burnley,b-mouth,Missed,141,16/17,0.372370262,33.0489218,r,0,0.361117256,0.40898157399999996
6031,30.784000000000002,-12.024000000000001,stoke,m-brough,Missed,261,16/17,0.372370262,33.0489218,r,0,0.361117256,0.40898157399999996
7689,38.848,0.0,liverpool,watford,Scored,108,16/17,0.0,38.848,b,1,0.40351120100000004,0.40765191700000003
884,38.4,1.002,man-city,man-utd,Scored,34,16/17,0.02608783,38.41307074,b,1,0.40070545399999996,0.407018768
4750,37.952,2.004,leicester,m-brough,Missed,192,16/17,0.052754547,38.00487232,r,0,0.39756539,0.406179278
8330,37.952,2.004,west-ham,leicester,Scored,279,16/17,0.052754547,38.00487232,b,1,0.39756539,0.406179278
5156,37.504,3.0060000000000002,west-ham,m-brough,Scored,214,16/17,0.079980471,37.62427477,b,1,0.39409191600000004,0.40512187899999996
9093,37.504,3.34,sunderland,hull-city,Scored,347,16/17,0.088822839,37.65243174,b,1,0.391808617,0.40323301
9435,28.544,-15.03,watford,man-city,Missed,379,16/17,0.48466561799999996,32.25927519,r,0,0.341777901,0.40305516399999997
6919,35.711999999999996,6.346,cpalace,liverpool,Scored,328,16/17,0.17586362100000003,36.27145792,b,1,0.382040195,0.40280766100000004
3120,32.576,10.687999999999999,arsenal,b-mouth,Scored,126,16/17,0.317028039,34.28453179,b,1,0.36452629299999995,0.402670418
3026,38.848,-1.002,wba,hull-city,Missed,122,16/17,0.025787116000000002,38.86092006,r,0,0.39734075700000004,0.402538833
2835,38.4,-2.004,b-mouth,stoke,Scored,114,16/17,0.052140199000000005,38.45225632,b,1,0.39428672200000003,0.40171220799999996
7712,27.648000000000003,16.032,everton,swansea,Missed,111,16/17,0.52547986,31.95992691,r,0,0.334961314,0.401396325
2783,37.504,3.674,cpalace,man-city,Missed,110,16/17,0.097651302,37.68352813,r,0,0.389510925,0.40132894399999997
3124,35.264,-7.348,arsenal,b-mouth,Scored,126,16/17,0.205431626,36.0214214,b,1,0.377095387,0.400654223
968,30.784000000000002,-13.026,west-ham,watford,Scored,37,16/17,0.400295761,33.42650643,b,1,0.352063357,0.400592249
3247,34.368,-8.684,man-city,chelsea,Missed,131,16/17,0.247496515,35.44814918,r,0,0.37172861799999996,0.400220464
5574,33.92,-9.352,watford,burnley,Missed,236,16/17,0.269023893,35.18559796,r,0,0.36876459,0.399781733
6669,33.92,9.352,swansea,spurs,Scored,302,16/17,0.269023893,35.18559796,b,1,0.36876459,0.399781733
9495,33.92,-9.352,everton,sunderland,Scored,39,16/17,0.269023893,35.18559796,b,1,0.36876459,0.399781733
8835,37.952,-3.34,m-brough,arsenal,Missed,322,16/17,0.087779749,38.09868638,r,0,0.388655281,0.39880735700000003
8479,35.711999999999996,7.013999999999999,stoke,leicester,Missed,286,16/17,0.193936037,36.39427345,r,0,0.376941827,0.398497991
9009,37.056,-5.01,everton,chelsea,Missed,339,16/17,0.134385906,37.39314424,r,0,0.38317266899999997,0.397912957
5019,31.68,12.357999999999999,watford,m-brough,Missed,206,16/17,0.37193278700000004,34.00503733,r,0,0.354189536,0.397879343
7325,32.576,11.356,cpalace,hull-city,Scored,362,16/17,0.33542723399999996,34.49861609,b,1,0.358779945,0.397516748
1768,35.264,8.35,man-utd,stoke,Missed,68,16/17,0.232503238,36.23909762,r,0,0.36925686700000004,0.393946058
4224,35.264,8.35,liverpool,everton,Scored,169,16/17,0.232503238,36.23909762,b,1,0.36925686700000004,0.393946058
8728,32.128,12.357999999999999,west-ham,sunderland,Missed,317,16/17,0.367203034,34.42279111,r,0,0.35219632,0.393773651
5144,31.232,-13.36,m-brough,west-ham,Missed,214,16/17,0.404211472,33.96950727,r,0,0.34724042200000005,0.39373494700000006
2115,37.504,-5.01,hull-city,stoke,Missed,83,16/17,0.132799533,37.83715259,r,0,0.38018787299999995,0.393564079
7640,33.024,11.356,stoke,swansea,Scored,99,16/17,0.331204397,34.92196031,b,1,0.35662006399999996,0.39336026
9245,40.192,0.33399999999999996,arsenal,stoke,Scored,360,16/17,0.00830992,40.19338776,b,1,0.391254451,0.39270134700000003
7294,36.16,-7.348,chelsea,wba,Scored,356,16/17,0.20047823,36.89903392,b,1,0.371657856,0.392033539
7658,35.711999999999996,-8.016,swansea,stoke,Scored,99,16/17,0.220802655,36.60059016,b,1,0.369236047,0.391926509
6570,37.056,6.0120000000000005,man-city,chelsea,Missed,298,16/17,0.160839492,37.5405285,r,0,0.375953418,0.391858287
553,35.264,8.684,everton,stoke,Missed,22,16/17,0.241452566,36.31751027,r,0,0.366632542,0.391682734
3219,34.816,9.352,cpalace,s-hampton,Scored,130,16/17,0.262417817,36.05015617,b,1,0.363848765,0.391297135
9081,34.368,-10.02,hull-city,sunderland,Missed,347,16/17,0.283686843,35.79888021,r,0,0.36088671899999997,0.390764806
6472,36.608000000000004,7.013999999999999,man-utd,everton,Missed,295,16/17,0.18930329999999998,37.27387637,r,0,0.371416906,0.389906376
2864,35.711999999999996,-8.35,hull-city,sunderland,Missed,115,16/17,0.229688647,36.675188399999996,r,0,0.366654541,0.38970882100000004
6355,30.784000000000002,-14.362,cpalace,chelsea,Missed,284,16/17,0.436524011,33.96942302,r,0,0.34009382299999996,0.38928074799999995
716,38.4,4.342,man-city,west-ham,Missed,28,16/17,0.112594683,38.64470163,r,0,0.37877071,0.38881737
1104,38.4,-4.342,leicester,burnley,Scored,43,16/17,0.112594683,38.64470163,b,1,0.37877071,0.38881737
5536,38.4,4.342,hull-city,liverpool,Scored,233,16/17,0.112594683,38.64470163,b,1,0.37877071,0.38881737
1323,29.888,-15.364,b-mouth,everton,Missed,51,16/17,0.474826276,33.60572927,r,0,0.334299332,0.38834364600000004
7753,40.192,1.3359999999999999,everton,leicester,Missed,174,16/17,0.033228211,40.21419849,r,0,0.385292415,0.38771799700000004
4315,35.711999999999996,8.684,man-city,hull-city,Scored,173,16/17,0.23853786800000001,36.75267065,b,1,0.364067655,0.387478121
5772,35.264,9.352,s-hampton,sunderland,Scored,245,16/17,0.25923225899999996,36.48300426,b,1,0.361370611,0.38711744299999995
3251,32.576,-12.692,man-city,chelsea,Missed,131,16/17,0.37151924,34.96115902,r,0,0.34731710299999996,0.38707843299999994
1480,39.744,-2.338,swansea,man-city,Missed,57,16/17,0.058758773,39.81270877,r,0,0.38240853700000005,0.386867904
5326,39.744,-2.338,cpalace,b-mouth,Scored,221,16/17,0.058758773,39.81270877,b,1,0.38240853700000005,0.386867904
8179,30.784000000000002,-14.696,watford,s-hampton,Scored,263,16/17,0.445397249,34.11197842,b,1,0.337123844,0.38643480799999996
5986,40.192,1.67,hull-city,leicester,Scored,258,16/17,0.04152667,40.22667975,b,1,0.383272447,0.38603004799999996
4814,37.056,-7.013999999999999,west-ham,man-utd,Missed,195,16/17,0.187067992,37.71396733,r,0,0.368646244,0.38567780399999996
5094,33.024,12.357999999999999,watford,b-mouth,Scored,210,16/17,0.358080251,35.26052666,b,1,0.348134231,0.38566744
6571,38.4,5.01,hull-city,m-brough,Scored,299,16/17,0.129735936,38.72544512,b,1,0.374218441,0.385006146
1808,37.504,6.68,arsenal,swansea,Scored,70,16/17,0.176265852,38.09425699,b,1,0.368280502,0.38353881
8828,37.504,-6.68,m-brough,arsenal,Scored,322,16/17,0.176265852,38.09425699,b,1,0.368280502,0.38353881
4990,38.4,5.343999999999999,spurs,wba,Missed,205,16/17,0.138278534,38.77007011,r,0,0.371925209,0.383080239
1076,35.711999999999996,9.352,arsenal,hull-city,Scored,42,16/17,0.256121435,36.91621389,b,1,0.35888028899999996,0.38297916200000004
7010,26.304000000000002,19.038,man-city,man-utd,Missed,333,16/17,0.626500344,32.47069232,r,0,0.30976146600000004,0.38263145200000004
9577,26.304000000000002,19.038,man-city,s-hampton,Scored,315,16/17,0.626500344,32.47069232,b,1,0.30976146600000004,0.38263145200000004
5350,35.264,10.02,burnley,leicester,Scored,222,16/17,0.27684586699999997,36.65992493,b,1,0.35609526700000005,0.382503265
5606,37.504,7.013999999999999,stoke,wba,Missed,237,16/17,0.18488426100000002,38.15424239,r,0,0.365871118,0.381493536
8763,37.504,7.013999999999999,watford,swansea,Missed,319,16/17,0.18488426100000002,38.15424239,r,0,0.365871118,0.381493536
9210,36.608000000000004,-8.35,m-brough,s-hampton,Scored,359,16/17,0.22425570600000003,37.548211200000004,b,1,0.36142265100000004,0.38136324899999996
4317,34.368,11.356,man-city,hull-city,Scored,173,16/17,0.319129557,36.19555442,b,1,0.35001720799999997,0.38111656200000005
