,AwayTeam,Date,HomeTeam
238,Liverpool,Sat 20 Jan 2018,Swansea
239,Bournemouth,Sat 20 Jan 2018,West Ham
240,West Brom,Wed 31 Jan 2018,Man City
241,Watford,Wed 31 Jan 2018,Stoke
242,Man United,Wed 31 Jan 2018,Tottenham
243,Bournemouth,Wed 31 Jan 2018,Chelsea
244,Leicester,Wed 31 Jan 2018,Everton
245,Burnley,Wed 31 Jan 2018,Newcastle
246,Brighton,Wed 31 Jan 2018,Southampton
247,Liverpool,Wed 31 Jan 2018,Huddersfield
248,Arsenal,Wed 31 Jan 2018,Swansea
249,Crystal Palace,Wed 31 Jan 2018,West Ham
250,Everton,Sat 03 Feb 2018,Arsenal
251,Stoke,Sat 03 Feb 2018,Bournemouth
252,West Ham,Sat 03 Feb 2018,Brighton
253,Man City,Sat 03 Feb 2018,Burnley
254,Newcastle,Sat 03 Feb 2018,Crystal Palace
255,Swansea,Sat 03 Feb 2018,Leicester
256,Tottenham,Sat 03 Feb 2018,Liverpool
257,Huddersfield,Sat 03 Feb 2018,Man United
258,Chelsea,Sat 03 Feb 2018,Watford
259,Southampton,Sat 03 Feb 2018,West Brom
260,West Brom,Sat 10 Feb 2018,Chelsea
261,Crystal Palace,Sat 10 Feb 2018,Everton
262,Bournemouth,Sat 10 Feb 2018,Huddersfield
263,Leicester,Sat 10 Feb 2018,Man City
264,Man United,Sat 10 Feb 2018,Newcastle
265,Liverpool,Sat 10 Feb 2018,Southampton
266,Brighton,Sat 10 Feb 2018,Stoke
267,Burnley,Sat 10 Feb 2018,Swansea
268,Arsenal,Sat 10 Feb 2018,Tottenham
269,Watford,Sat 10 Feb 2018,West Ham
270,Man City,Sat 24 Feb 2018,Arsenal
271,Newcastle,Sat 24 Feb 2018,Bournemouth
272,Swansea,Sat 24 Feb 2018,Brighton
273,Southampton,Sat 24 Feb 2018,Burnley
274,Tottenham,Sat 24 Feb 2018,Crystal Palace
275,Stoke,Sat 24 Feb 2018,Leicester
276,West Ham,Sat 24 Feb 2018,Liverpool
277,Chelsea,Sat 24 Feb 2018,Man United
278,Everton,Sat 24 Feb 2018,Watford
279,Huddersfield,Sat 24 Feb 2018,West Brom
280,Arsenal,Sat 03 Mar 2018,Brighton
281,Everton,Sat 03 Mar 2018,Burnley
282,Man United,Sat 03 Mar 2018,Crystal Palace
283,Bournemouth,Sat 03 Mar 2018,Leicester
284,Newcastle,Sat 03 Mar 2018,Liverpool
285,Chelsea,Sat 03 Mar 2018,Man City
286,Stoke,Sat 03 Mar 2018,Southampton
287,West Ham,Sat 03 Mar 2018,Swansea
288,Huddersfield,Sat 03 Mar 2018,Tottenham
289,West Brom,Sat 03 Mar 2018,Watford
290,Watford,Sat 10 Mar 2018,Arsenal
291,Tottenham,Sat 10 Mar 2018,Bournemouth
292,Crystal Palace,Sat 10 Mar 2018,Chelsea
293,Brighton,Sat 10 Mar 2018,Everton
294,Swansea,Sat 10 Mar 2018,Huddersfield
295,Liverpool,Sat 10 Mar 2018,Man United
296,Southampton,Sat 10 Mar 2018,Newcastle
297,Man City,Sat 10 Mar 2018,Stoke
298,Leicester,Sat 10 Mar 2018,West Brom
299,Burnley,Sat 10 Mar 2018,West Ham
300,West Brom,Sat 17 Mar 2018,Bournemouth
301,Chelsea,Sat 17 Mar 2018,Burnley
302,Crystal Palace,Sat 17 Mar 2018,Huddersfield
303,Arsenal,Sat 17 Mar 2018,Leicester
304,Watford,Sat 17 Mar 2018,Liverpool
305,Brighton,Sat 17 Mar 2018,Man City
