x,y,Team,Against,Scored,Match No,Date
119.93599999999998,117.87,preston-north-end,ipswich,Missed,326,28-01-2017
116.79999999999995,193.68800000000002,preston-north-end,ipswich,Missed,326,28-01-2017
113.66399999999993,141.25,preston-north-end,ipswich,Missed,326,28-01-2017
74.68799999999993,208.05,preston-north-end,ipswich,Missed,326,28-01-2017
68.416,153.608,preston-north-end,ipswich,Missed,326,28-01-2017
102.91199999999998,117.53600000000003,preston-north-end,ipswich,Missed,326,28-01-2017
103.80799999999994,233.76800000000003,preston-north-end,ipswich,Missed,326,28-01-2017
115.90399999999994,183,preston-north-end,ipswich,Missed,326,28-01-2017
70.20799999999991,233.43400000000003,preston-north-end,ipswich,Missed,326,28-01-2017
32.12799999999993,149.60000000000002,preston-north-end,ipswich,Missed,326,28-01-2017
114.55999999999995,235.772,preston-north-end,ipswich,Missed,326,28-01-2017
88.57599999999996,176.32,preston-north-end,ipswich,Missed,326,28-01-2017
46.01599999999996,182.666,preston-north-end,ipswich,Scored,326,28-01-2017
46.46399999999994,172.98000000000002,preston-north-end,ipswich,Missed,326,28-01-2017
51.84,258.484,ipswich,preston-north-end,Scored,326,28-01-2017
57.216000000000015,116.53399999999999,ipswich,preston-north-end,Missed,326,28-01-2017
49.6,217.068,ipswich,preston-north-end,Missed,326,28-01-2017
104.704,289.88,ipswich,preston-north-end,Missed,326,28-01-2017
74.68799999999999,199.70000000000002,ipswich,preston-north-end,Missed,326,28-01-2017
95.744,152.94,ipswich,preston-north-end,Missed,326,28-01-2017
36.60799999999995,181.66400000000002,wolves,preston-north-end,Scored,551,07-05-2017
38.847999999999956,203.37400000000002,wolves,preston-north-end,Missed,551,07-05-2017
156.22399999999993,197.02800000000002,wolves,preston-north-end,Missed,551,07-05-2017
119.93599999999998,143.922,wolves,preston-north-end,Missed,551,07-05-2017
64.832,136.24,wolves,preston-north-end,Missed,551,07-05-2017
72.44799999999992,193.02,wolves,preston-north-end,Missed,551,07-05-2017
52.287999999999954,147.93,wolves,preston-north-end,Missed,551,07-05-2017
114.11199999999997,198.364,wolves,preston-north-end,Missed,551,07-05-2017
106.49599999999998,149.60000000000002,wolves,preston-north-end,Missed,551,07-05-2017
65.72799999999995,209.386,wolves,preston-north-end,Missed,551,07-05-2017
106.49599999999998,103.17399999999998,wolves,preston-north-end,Missed,551,07-05-2017
29.88799999999992,243.788,wolves,preston-north-end,Missed,551,07-05-2017
136.95999999999998,119.20600000000002,wolves,preston-north-end,Missed,551,07-05-2017
108.28799999999998,150.602,preston-north-end,wolves,Missed,551,07-05-2017
57.663999999999994,196.36,preston-north-end,wolves,Missed,551,07-05-2017
53.632000000000026,162.626,preston-north-end,wolves,Missed,551,07-05-2017
129.79200000000003,129.56,preston-north-end,wolves,Missed,551,07-05-2017
120.83200000000004,165.29800000000003,preston-north-end,wolves,Missed,551,07-05-2017
65.72799999999998,193.68800000000002,preston-north-end,wolves,Missed,551,07-05-2017
59.90399999999999,179.994,preston-north-end,wolves,Missed,551,07-05-2017
146.368,198.364,preston-north-end,wolves,Missed,551,07-05-2017
110.97600000000003,112.52600000000004,preston-north-end,wolves,Missed,551,07-05-2017
86.33600000000001,200.03400000000002,preston-north-end,wolves,Missed,551,07-05-2017
106.944,133.568,preston-north-end,wolves,Missed,551,07-05-2017
